File Name,Time Taken: Map Filling,Line Count,Time Taken: Processing Time,String Searched
./txtFiles/31963-0.txt,0.011,3400,0.001,ea
./txtFiles/paraWords.txt,0.003,1422,0,a
./txtFiles/words.txt,1.737,466551,0.123,s
